,county,population,summer_2020_cases,summer_2020_doses_administered,summer_2020_pfizer_doses,summer_2020_moderna_doses,summer_2020_jj_doses,summer_2020_partially_vaccinated,summer_2020_at_least_one_dose,summer_2020_fully_vaccinated,summer_2020_partially_vaccinated_percent,summer_2020_at_least_one_dose_percent,summer_2020_fully_vaccinated_percent,summer_2020_Unemployment_Rate,democrat_votes_percent,green_votes_percent,republican_votes_percent,libertarian_votes_percent,other_votes_percent
38,San Joaquin,782545,14885,15,10,5,0,7,8,8,5.46e-06,1.09e-05,1.09e-05,0.13841978300000002,0.556064752,0.003671738,0.417894893,0.010107633000000001,0.012260983
39,San Luis Obispo,278862,2922,0,0,0,0,0,0,0,0.0,0.0,0.0,0.098634294,0.552925855,0.0049713859999999995,0.422229736,0.01507695,0.004796073
40,San Mateo,778001,6696,36,31,5,0,21,21,14,2.09e-05,2.7399999999999995e-05,1.83e-05,0.093793747,0.7788783459999999,0.004261846,0.201960716,0.009496301,0.005402791
41,Santa Barbara,456373,5465,5,4,1,0,4,4,1,9.01e-06,9.01e-06,2.25e-06,0.095715588,0.6487154270000001,0.004687055,0.32812383,0.012059559,0.006414128000000001
42,Santa Clara,1967585,16579,125,118,7,0,71,72,55,2.08e-05,3.75e-05,2.8600000000000004e-05,0.09316953300000001,0.7263867620000001,0.0047488009999999995,0.25226479,0.010732996000000002,0.00586665
43,Santa Cruz,273999,2032,5,4,1,0,3,3,2,1.1e-05,1.1e-05,7.31e-06,0.10616184099999999,0.788790157,0.007332381,0.185981483,0.01176495,0.00613103
44,Shasta,177925,1125,300,110,190,0,165,165,135,0.00079292,0.00092135,0.000753832,0.099861304,0.322823631,0.00395997,0.6541375229999999,0.013741526,0.005337351
45,Sierra,3115,5,0,0,0,0,0,0,0,0.0,0.0,0.0,0.08730158699999999,0.378042465,0.0067322630000000005,0.591403418,0.013982393000000001,0.009839460999999999
46,Siskiyou,43956,128,9,6,3,0,5,5,4,9.19e-05,0.00011483700000000001,9.19e-05,0.103044496,0.408699727,0.004942059,0.566206544,0.013548056999999999,0.006603613
47,Solano,444255,4563,5,5,0,0,3,3,2,4.56e-06,6.84e-06,4.56e-06,0.12086827800000001,0.639406053,0.004653264,0.336637895,0.012021741,0.007281045999999999
48,Sonoma,496668,6447,6,3,3,0,4,4,2,3.99e-06,7.98e-06,3.99e-06,0.100326264,0.745155916,0.005586675,0.230417752,0.012738663999999999,0.0061009919999999995
49,Stanislaus,562303,12451,13,11,2,0,10,10,3,1.4800000000000002e-05,1.85e-05,5.56e-06,0.128844555,0.492389069,0.003451901,0.484499009,0.011602481999999999,0.008057538000000001
50,Sutter,105747,1468,1,0,1,0,1,1,0,1.04e-05,1.04e-05,0.0,0.116883117,0.407255417,0.0031891940000000002,0.571592721,0.012217428,0.00574524
51,Tehama,65885,543,24,6,18,0,13,13,11,0.000173575,0.000205135,0.000173575,0.10314615699999999,0.310152797,0.003132505,0.666214194,0.014026661000000001,0.006473844
52,Trinity,13354,26,2,0,2,0,1,1,1,7.77e-05,7.77e-05,7.77e-05,0.080260304,0.455504074,0.007988496999999999,0.509346541,0.018693082,0.008467806
53,Tulare,484423,10995,1,1,0,0,1,1,0,2.17e-06,2.17e-06,0.0,0.149489796,0.45004595399999997,0.003288287,0.528161487,0.010198455,0.008305817
54,Tuolumne,52351,182,1,0,1,0,1,1,0,1.85e-05,1.85e-05,0.0,0.12215628099999999,0.39390949799999997,0.004768482,0.581721915,0.01443699,0.005163115
55,Ventura,852747,9063,21,17,4,0,11,12,9,1.3000000000000001e-05,1.4099999999999999e-05,1.06e-05,0.112426036,0.594543842,0.004176669,0.383626796,0.011988411000000001,0.005664282
56,Yolo,223612,2138,50,30,20,0,29,30,21,8.840000000000001e-05,0.00013955,9.77e-05,0.091341579,0.694780768,0.005622135,0.280510617,0.01239542,0.00669106
57,Yuba,79290,1006,2,0,2,0,1,1,1,1.32e-05,1.32e-05,1.32e-05,0.122516556,0.37689622799999994,0.004161632,0.593233991,0.017116391,0.008591757
